timestamp,EN,EN_US,phonetics,lang_count,age,gender,education,no,microphoneLabel,preset,isControlGroup,timeSpent,version,speechMin,speechMax,speechMean,silenceMin,silenceMax,silenceMean,speaker_F1_mean,speaker_F2_mean,speaker_F1_SD,speaker_F2_SD
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496
2/19/2025 10:39:20,7,6,3,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),24,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,269076,1.2.0,2.0223588134011666e-06,1.3347927855548392,0.08886872981994955,1.7653817895452715e-06,3.017380778139525e-05,5.775847726966068e-06,463.8031853408375,1410.6525932905365,175.69647039807464,462.9254747922129
2/19/2025 18:45:57,8,4,3,1,20-29 lat,kobieta,wyższe II stopnia (magisterskie lub równoważne),57,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),FEMALE,False,299650,1.2.0,3.071915927165938e-06,0.5998238638022144,0.024724180133095023,1.7865382812411401e-06,0.00011198065600171239,6.797421984415065e-06,591.5079663309045,1726.7773284162774,209.86070537284263,642.6973328135699
2/18/2025 19:01:34,6,5,7,1,20-29 lat,kobieta,wyższe I stopnia (licencjackie lub równoważne),69,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),FEMALE,False,96194,1.2.0,4.2613912152461575e-06,3.5620700844848585,0.09546440184060487,3.793386274346489e-06,6.339122832062314e-05,1.628134613474606e-05,569.2432655181192,1678.0984570625378,187.29779237786946,558.9626055577676
2/19/2025 10:45:32,9,7,6,2,20-29 lat,mężczyzna,średnie,77,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,True,154291,1.2.0,3.94002711791297e-06,4.5175798266328115,0.03757641181613638,2.5632042498164643e-06,0.00026025647521349393,1.6366013498199573e-05,485.384570614262,1468.6371309203312,161.01597049241633,537.0956533733282
1/27/2025 13:33:18,6,6,2,1,30-39 lat,mężczyzna,średnie,92,,MALE,False,707717,1.0.0,3.3100855972221773e-09,0.5915834991982507,0.014468156427429648,3.430419256837689e-08,6.580611659621344e-06,1.596845017095707e-07,442.4317000169395,1392.3927465223092,160.16427230545492,636.1877654502352
2/20/2025 12:35:14,8,6,5,2,20-29 lat,mężczyzna,średnie,174,Mikrofon (2- USB Audio Device) (0d8c:0012),MALE,False,206265,1.2.0,1.6312328292644879e-07,0.04149813027237692,0.001788877291022493,1.0144817018609359e-07,7.114903197852351e-05,3.4499033591808506e-06,417.6678785871756,1264.5258478801709,165.37585772092223,415.9139739228747
2/19/2025 19:20:15,6,5,3,2,20-29 lat,mężczyzna,wyższe II stopnia (magisterskie lub równoważne),180,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,678509,1.2.0,7.871934535500641e-06,0.5535203279307552,0.017433704448868322,8.558208557247517e-06,0.007802432515400748,0.00039548387818069057,608.5277121984587,1622.489940421713,281.02942698016307,549.7399533626037
1/24/2025 14:16:54,3,1,2,1,20-29 lat,kobieta,wyższe I stopnia (licencjackie lub równoważne),190,,FEMALE,False,3071197,1.0.0,1.0090012655580152e-08,0.32057179597588004,0.008496003028000835,9.365813641341838e-09,5.401122094612757e-05,2.700329057690688e-07,564.2538671109508,1658.913182017302,198.26874302636008,648.379361022149
2/19/2025 19:00:11,8,7,4,2,30-39 lat,,wyższe I stopnia bez dyplomu,232,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),FEMALE,True,28323,1.2.0,4.3603782411971714e-06,0.3507539077530488,0.01472369735996743,6.215205177240168e-06,0.00026834506918810286,2.9723540910479923e-05,517.091740123204,1792.4218208637922,173.30078218034961,621.1651990955238
2/18/2025 17:49:47,10,8,1,2,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),310,Mikrofon (2- USB Audio Device) (0d8c:0012),MALE,True,189833,1.2.0,1.799115173147599e-07,0.02107051843313479,0.0013096797604937069,6.563229651818437e-08,1.5939634356610397e-05,1.1056850658311468e-06,457.80603955748484,1342.724717327085,131.0168149709583,453.77089728101305
2/19/2025 10:59:34,7,5,1,1,20-29 lat,mężczyzna,wyższe II stopnia (magisterskie lub równoważne),485,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,641506,1.2.0,3.279972503358354e-06,0.18842762382723777,0.007856698452799026,1.943347710297761e-06,0.012757302976175444,0.00020887409451189376,456.905794237611,1318.4971735319386,153.97032931957858,412.03079566622074
1/23/2025 16:20:08,7,3,1,1,20-29 lat,mężczyzna,średnie,578,,MALE,False,2513530,1.0.0,1.4536908006291473e-08,0.4186272987610664,0.009605619613556491,1.983501570632793e-08,0.0011395348759133533,1.166712851402607e-05,495.72046180039246,1482.1579540435444,155.71857101171906,593.0684569923797
2/18/2025 19:09:08,7,6,1,2,20-29 lat,kobieta,wyższe I stopnia (licencjackie lub równoważne),666,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),FEMALE,True,82815,1.2.0,5.709315968176762e-06,0.8466505413420897,0.037002180591232024,3.3202343063636606e-06,0.001005632708388271,4.1369349222512754e-05,575.1725419550182,1605.900770566948,173.922203943813,627.8314015966982
1/20/2025 15:39:46,9,8,5,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),762,,MALE,False,410097,1.0.0,1.7589423039985155e-08,0.2154889906249915,0.0109195192944665,6.492204373281439e-09,2.104086986715105e-06,8.402741040286517e-08,473.5161072926524,1340.262515816823,162.10318028864242,518.55075418154
1/24/2025 16:39:39,8,7,5,3,30-39 lat,kobieta,wyższe II stopnia (magisterskie lub równoważne),764,,FEMALE,False,923162,1.0.0,1.044359071785569e-08,0.1322936474122196,0.009456749062767882,5.267885716376101e-09,2.3397536280525558e-07,2.320953290614374e-08,551.7983968736546,1734.701696017552,222.34980842423738,695.1629335157251
