no,vowel,isPre,distance_to_target,distance_to_closest,closest_phoneme
18,ɪ,True,20.981584005817986,24.195158099553534,ɛ
18,ɔ,True,207.4096898391002,43.88059868558499,æ
18,u,True,36.63749452546607,40.842596796594705,ɛ
18,ʌ,True,8.33750724463466,16.13786430455694,æ
18,ɛ,True,19.562609088624804,19.22441739130337,æ
18,i,True,15.59072410684907,54.57891291606982,ɪ
18,æ,True,1.8391554413246676,30.000932064828735,ɛ
18,ɑ,True,20.10680235731216,9.504491229213802,ʌ
18,ʊ,True,87.56184197254709,13.009973544145465,ɛ
18,ɔ,False,12.542593968396721,8.348929845631433,u
18,ʊ,False,20.250858109448636,1.1216630888189552,u
18,æ,False,9.03051311428589,21.29617106330366,ɑ
18,ʌ,False,45.564052770721574,20.370589709316103,æ
18,ɛ,False,18.701560549956074,7.677152563148565,æ
18,i,False,6.375911953107814,39.374049348521375,ɪ
18,ɪ,False,194.51091058059075,112.19091488940806,i
18,u,False,225.43473418581618,51.96733171816191,æ
18,ɑ,False,13.071175659031852,3.8305741741776336,ʌ
24,ɛ,True,16.693500392910778,5.055533425209373,æ
24,ɪ,True,4.338499834390554,5.247976396983712,ɛ
24,u,True,225.3206881748605,23.69077301534591,æ
24,æ,True,10.583296040682669,18.8318370025579,ɑ
24,ɔ,True,4.564269795120042,15.169640427638264,u
24,ɑ,True,17.06463098022078,11.709718903442363,ʌ
24,ʊ,True,20.265232486000027,16.563538748278177,ɔ
24,i,True,7.913495483852413,3.67307393051747,ɪ
24,ʌ,True,15.227350145707652,22.73331427836864,ɑ
24,u,False,18.011780581966114,10.508605408708407,ʊ
24,ɔ,False,72.56589939458847,12.383627284892812,æ
24,æ,False,5.735466078644729,6.2012094324811216,ɛ
24,ɪ,False,24.922077972122963,9.73460885987974,i
24,i,False,12.674470333808042,2.043084666099602,ɪ
24,ʌ,False,10.755964301125251,8.501774758456248,ɑ
24,ʊ,False,5.559320270012636,18.330499433973493,u
24,ɑ,False,23.445839554235835,8.01120472729347,ʌ
24,ɛ,False,3.544338029028375,5.266112234691023,ɪ
57,u,True,13.748853052563396,25.36107248892657,ʊ
57,ʊ,True,58.40464347644082,27.785681358904395,u
57,ɛ,True,6.7453478804810985,9.403405795388558,æ
57,i,True,7.47430351133995,3.228409933695913,ɪ
57,ʌ,True,15.349962503047744,4.418126372936233,ɔ
57,ɔ,True,0.13775355198319797,12.469848051943476,ɑ
57,æ,True,8.467522040128136,7.226914327255009,ɛ
57,ɑ,True,2.0039783842478447,4.758855083316486,ɔ
57,ɪ,True,0.8910116033447709,12.240521373610237,ɛ
57,ɔ,False,23.99406137625784,1.6246609385757425,ɑ
57,ɪ,False,1.9981543967059472,9.66702989493944,i
57,ɑ,False,3.967014779529591,22.259373380182655,ʌ
57,æ,False,10.856511263629338,12.412397296635868,ɑ
57,u,False,5.453146052476563,10.259362084742811,ʊ
57,ɛ,False,12.74028042504203,9.665127751156387,æ
57,ʌ,False,7.56919804987588,7.976698317916457,ɑ
57,i,False,3.663947929077574,6.2676209565426415,ɪ
57,ʊ,False,3.5472891067860357,2.016725984380549,u
69,ɪ,True,26.351969197894906,33.93684147171016,ɛ
69,æ,True,30.28293083820152,12.82099463656867,ʌ
69,ɔ,True,19.630985591815556,13.171205323966417,ɑ
69,ʌ,True,86.1693851668147,7.52089427299983,u
69,ʊ,True,40.6216163578345,17.75371051311658,u
69,ɛ,True,7.527267497153703,6.726876488658202,æ
69,ɑ,True,3.779109768680189,3.11775466566822,ʌ
69,i,True,10.157447821160696,3.0343986236026006,ɪ
69,u,True,1.418653436141867,11.875740031115827,ʊ
69,ʊ,False,62.81605135487292,32.229435543245444,u
69,ɑ,False,19.051395820813767,5.817445550285587,ʌ
69,ɛ,False,1.0029229879892942,10.743038835104826,æ
69,i,False,51.733263682688786,12.926984817690938,ɪ
69,ɔ,False,3.162426266356677,9.834582088199225,ɑ
69,u,False,29.44430650578521,27.925681046863737,ɛ
69,ʌ,False,14.823554142265142,26.770498994391463,æ
69,æ,False,36.77459687827343,26.24471801252974,u
69,ɪ,False,38.53074481250562,25.902170126573967,u
77,ʊ,True,51.22328654965843,17.794504915330766,æ
77,ɪ,True,5.3566126106326175,3.4572135600585385,ɛ
77,ʌ,True,20.30863509090937,2.5953828657625597,ɑ
77,æ,True,12.59004072293062,1.1641746922635436,ɛ
77,ɛ,True,4.038266987935334,1.328765757313103,ɪ
77,u,True,50.57721545545719,20.11848437664217,ɪ
77,i,True,18.56085334164132,0.6880791363740312,ɪ
77,ɑ,True,10.115511030157409,6.618239333349044,ʌ
77,ɔ,True,14.96184422449794,5.833378664197943,ɑ
77,ʌ,False,15.693868471815124,2.3650437741094836,ɑ
77,ɛ,False,3.725762301356437,8.288343462492222,ɪ
77,ʊ,False,67.15259799423288,22.24049120942572,ɛ
77,u,False,15.124016680792623,31.5324583006035,ʊ
77,i,False,3.124407478851676,18.599808326272857,ɪ
77,ɑ,False,20.078624149887332,6.02720868113662,ʌ
77,ɪ,False,28.957220619603277,24.350345180822007,ɛ
77,ɔ,False,17.49508691908107,19.19519821937864,ʌ
77,æ,False,17.956660965441753,3.1344240971430373,ɪ
92,ʌ,True,7.832735094973142,2.987372857445247,ɑ
92,ɪ,True,7.022697462850412,1.6491942230581478,ɛ
92,ʊ,True,29.05121404249985,24.831687657074053,u
92,ɛ,True,1.5625269938214539,8.565405748444276,æ
92,æ,True,3.083701621624249,3.619758265846079,ɛ
92,ɔ,True,7.030702086144582,3.183495111367314,ʊ
