timestamp,EN,EN_US,phonetics,lang_count,age,gender,education,no,vowel,isControlGroup,isPre,timeSpent,microphoneLabel,version,preset,speechMin,speechMax,speechMean,silenceMin,silenceMax,silenceMean,speaker_F1_mean,speaker_F2_mean,speaker_F1_SD,speaker_F2_SD,distance_to_target,distance_to_closest,closest_phoneme
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ɪ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,20.981584005817986,24.195158099553534,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ɔ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,207.4096898391002,43.88059868558499,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,u,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,36.63749452546607,40.842596796594705,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ʌ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,8.33750724463466,16.13786430455694,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ɛ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,19.562609088624804,19.22441739130337,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,i,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,15.59072410684907,54.57891291606982,ɪ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,æ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,1.8391554413246676,30.000932064828735,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ɑ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,20.10680235731216,9.504491229213802,ʌ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ʊ,False,True,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,87.56184197254709,13.009973544145465,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ɔ,False,False,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,12.542593968396721,8.348929845631433,u
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,ʊ,False,False,79542,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),1.2.0,MALE,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,20.250858109448636,1.1216630888189552,u
