timestamp,EN,EN_US,phonetics,lang_count,age,gender,education,no,microphoneLabel,preset,isControlGroup,timeSpent,version,speechMin,speechMax,speechMean,silenceMin,silenceMax,silenceMean,speaker_F1_mean,speaker_F2_mean,speaker_F1_SD,speaker_F2_SD,vowel,isPre,distance_to_target,distance_to_closest,closest_phoneme
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ɪ,True,20.981584005817986,24.195158099553534,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ɔ,True,207.4096898391002,43.88059868558499,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,u,True,36.63749452546607,40.842596796594705,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ʌ,True,8.33750724463466,16.13786430455694,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ɛ,True,19.562609088624804,19.22441739130337,æ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,æ,True,1.8391554413246676,30.000932064828735,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ɑ,True,20.10680235731216,9.504491229213802,ʌ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ʊ,True,87.56184197254709,13.009973544145465,ɛ
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ɔ,False,12.542593968396721,8.348929845631433,u
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,ʊ,False,20.250858109448636,1.1216630888189552,u
2/18/2025 19:05:16,9,7,1,1,20-29 lat,mężczyzna,wyższe I stopnia (licencjackie lub równoważne),18,Domyślny - Microphone (Logitech USB Headset) (046d:0a0b),MALE,False,79542,1.2.0,1.4938686469108105e-05,2.1115369276690785,0.041925319386863204,4.030928622920232e-06,0.6579564167632022,0.0027793397756558365,571.4333992081309,1415.6316828245206,169.97380018903928,456.31028052095496,æ,False,9.03051311428589,21.29617106330366,ɑ
