no,vowel,isPre,distance_to_target,distance_to_closest,closest_phoneme
self,i,False,0.0,18.916631615557186,ɪ
self,ɪ,False,0.0,8.335976726816046,ɛ
self,ɛ,False,0.0,7.6275745746877,æ
self,æ,False,0.0,15.45511936528229,ɛ
self,ʌ,False,0.0,7.074220436657004,ɑ
self,ɑ,False,0.0,8.93559839506589,ʌ
self,ɔ,False,0.0,16.112610732338954,ɑ
self,ʊ,False,0.0,7.304866390741409,u
self,u,False,0.0,10.565480081738343,ʊ
Trump,ɑ,False,0.3099005514890083,8.095075788070716,ʌ
Trump,æ,False,5.774200533089907,8.674196413938423,ɛ
Trump,ɛ,False,14.804820892319706,17.42440021144448,æ
Trump,i,False,6.694750197530983,6.018681143644506,ɪ
Trump,ɪ,False,10.89195776205464,15.939809449938544,ɛ
Trump,u,False,4.59096973750545,3.3551046925905306,ʊ
Trump,ʊ,False,22.49211219106659,23.030545560552206,u
Trump,ʌ,False,2.793736021127414,12.54374119820682,ɑ
Trump,ɔ,False,2.034370541358775,12.112802292306116,ʊ
Hillary,ɑ,False,1.382747174582816,4.3832533412188415,ʌ
Hillary,æ,False,8.08422500678565,17.91354048358287,ɛ
Hillary,ɛ,False,8.898567506673922,9.377248189311,æ
Hillary,i,False,2.3425944411389197,13.930607571593448,ɪ
Hillary,ɪ,False,20.569416261165685,18.498723979850936,ɛ
Hillary,u,False,32.75264115505431,48.08836918208253,ɛ
Hillary,ʊ,False,1.0848087887847262,11.161848185681059,u
Hillary,ʌ,False,2.6612254676349876,7.383544099745211,ɑ
Hillary,ɔ,False,2.406974335154185,8.808470193077582,ɑ
1,i,False,1.1694245889748909,24.947222092806612,ɪ
1,ɪ,False,0.2216379277963119,10.348432761948198,ɛ
1,ɛ,False,1.8390424056468715,5.943547294090708,æ
1,æ,False,2.2752144827182077,4.569396786416966,ɛ
1,ʌ,False,0.3292669452655756,9.835387322526117,ɑ
1,ɑ,False,2.1458518491769656,11.472491484781287,ɔ
1,ɔ,False,2.093859609145029,6.026627440450904,ɑ
1,ʊ,False,0.2765263106640142,9.51442799442744,u
1,u,False,1.1242420871975307,16.540704042264892,ʊ
2,i,False,2.707596695397873,32.48435170711752,ɪ
2,ɪ,False,0.954498006393933,4.642637399229423,ɛ
2,ɛ,False,0.5518434703811059,7.954938253622408,æ
2,æ,False,0.26676584142374365,15.522356528421595,ɛ
2,ʌ,False,0.16766229777601901,7.127785897067533,ɑ
2,ɑ,False,5.603494229650005,0.8220432642720437,ʌ
2,ɔ,False,2.102772152156086,17.30784617394245,ɑ
2,ʊ,False,0.18106549599214283,9.393059688587488,u
2,u,False,1.4379580442518827,16.40502061390955,ɔ
3,i,False,4.039449232334692,33.219970179235276,ɪ
3,ɪ,False,0.023466431609081975,9.04158602659815,ɛ
3,ɛ,False,0.5515443035451812,5.020208136057622,æ
3,æ,False,0.3343666621710164,10.35620091731257,ɛ
3,ʌ,False,0.28192451200403257,6.105565183442353,ɑ
3,ɑ,False,0.08657278367499897,7.907265083962506,ʌ
3,ɔ,False,0.22025565206302697,15.370428517805536,ɑ
